movie,year,imdb,metascore,votes,genres,descriptions,n_imdb,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Thriller,War
Ralph Breaks the Internet,2018,7.0,71,144825,"Animation, Adventure, Comedy","Six years after the events of ""Wreck-It Ralph,"" Ralph and Vanellope, now friends, discover a wi-fi router in their arcade, leading them into a new adventure.",70.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A Simple Favor,2018,6.8,67,139499,"Comedy, Crime, Mystery","Stephanie is a single mother with a parenting vlog who befriends Emily, a secretive upper-class woman who has a child at the same elementary school. When Emily goes missing, Stephanie takes it upon herself to investigate.",68.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Bad Times at the El Royale,2018,7.1,60,138594,"Crime, Drama, Mystery","Early 1970s. Four strangers check in at the El Royale Hotel. The hotel is deserted, staffed by a single desk clerk. Some of the new guests' reasons for being there are less than innocent and some are not who they appear to be.",71.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
Sicario: Day of the Soldado,2018,7.1,61,136414,"Action, Adventure, Crime","The drug war on the U.S.-Mexico border has escalated as the cartels have begun trafficking terrorists across the US border. To fight the war, federal agent Matt Graver re-teams with the mercurial Alejandro.",71.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Ballad of Buster Scruggs,2018,7.3,79,133691,"Comedy, Drama, Musical","Six tales of life and violence in the Old West, following a singing gunslinger, a bank robber, a traveling impresario, an elderly prospector, a wagon train, and a perverse pair of bounty hunters.",73.0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Vice,2018,7.2,61,133527,"Biography, Comedy, Drama","The story of Dick Cheney, an unassuming bureaucratic Washington insider, who quietly wielded immense power as Vice President to George W. Bush, reshaping the country and the globe in ways that we still feel today.",72.0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Halloween,2018,6.5,67,130886,"Crime, Horror, Thriller","Laurie Strode confronts her long-time foe Michael Myers, the masked figure who has haunted her since she narrowly escaped his killing spree on Halloween night four decades ago.",65.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
The Nun,2018,5.3,46,130417,"Horror, Mystery, Thriller",A priest with a haunted past and a novice on the threshold of her final vows are sent by the Vatican to investigate the death of a young nun in Romania and confront a malevolent force in the form of a demonic nun.,53.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
The Mule,2018,7.0,58,126688,"Crime, Drama, Thriller",A ninety-year-old horticulturist and Korean War veteran turns drug mule for a Mexican cartel.,70.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
Maze Runner: The Death Cure,2018,6.3,50,125315,"Action, Adventure, Sci-Fi","Young hero Thomas embarks on a mission to find a cure for a deadly disease known as ""The Flare"".",63.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
